mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
109.727,0.501,0.251,0.007,1.58,0.436,2.275,4.703,0.0
111.059,0.522,0.101,0.005,1.463,0.356,1.924,4.623,0.0
110.471,0.528,0.062,0.004,1.407,0.313,1.787,4.611,0.0
135.447,0.56,0.073,0.005,1.307,0.31,1.695,4.709,0.0
133.181,0.604,0.038,0.004,1.17,0.318,1.53,4.668,0.0
137.429,0.641,0.05,0.004,1.042,0.312,1.409,4.668,0.0
141.325,0.654,0.055,0.004,0.992,0.331,1.381,4.577,0.0
154.942,0.692,0.035,0.004,0.901,0.317,1.257,4.558,0.0
139.727,0.712,0.048,0.004,0.835,0.32,1.207,4.59,0.0
140.532,0.724,0.027,0.003,0.814,0.322,1.166,4.697,0.0
141.359,0.764,0.022,0.004,0.708,0.328,1.061,4.582,0.0
158.515,0.76,0.043,0.003,0.665,0.312,1.023,4.505,0.0
142.264,0.794,0.033,0.003,0.633,0.318,0.988,4.493,0.0
147.284,0.814,0.018,0.003,0.573,0.295,0.889,4.464,0.0
152.804,0.812,0.029,0.003,0.569,0.302,0.903,4.494,0.0
151.271,0.823,0.028,0.003,0.558,0.303,0.893,4.541,0.0
